Configuration,Adaptation,LLM,Repeat,Label,Status,Duration Seconds,Output Dir,ML Summary CSV,Rationale CSV
random,Random,deepseek-r1:8b,9,paper__rq2__random__r09,ok,464.5,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r09,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r09/performance_MLdata/FLwithAP_MLdata.csv,
random,Random,deepseek-r1:8b,10,paper__rq2__random__r10,ok,451.4,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r10,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__random__r10/performance_MLdata/FLwithAP_MLdata.csv,
expert_driven,Expert-Driven,deepseek-r1:8b,2,paper__rq2__expert_driven__r02,ok,486.4,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r02,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r02/performance_MLdata/FLwithAP_MLdata.csv,
expert_driven,Expert-Driven,deepseek-r1:8b,3,paper__rq2__expert_driven__r03,ok,490.1,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r03,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r03/performance_MLdata/FLwithAP_MLdata.csv,
expert_driven,Expert-Driven,deepseek-r1:8b,4,paper__rq2__expert_driven__r04,ok,528.2,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r04,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r04/performance_MLdata/FLwithAP_MLdata.csv,
expert_driven,Expert-Driven,deepseek-r1:8b,5,paper__rq2__expert_driven__r05,ok,488.4,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r05,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r05/performance_MLdata/FLwithAP_MLdata.csv,
expert_driven,Expert-Driven,deepseek-r1:8b,6,paper__rq2__expert_driven__r06,ok,501.2,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r06,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r06/performance_MLdata/FLwithAP_MLdata.csv,
expert_driven,Expert-Driven,deepseek-r1:8b,7,paper__rq2__expert_driven__r07,ok,508.5,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r07,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r07/performance_MLdata/FLwithAP_MLdata.csv,
expert_driven,Expert-Driven,deepseek-r1:8b,8,paper__rq2__expert_driven__r08,ok,497.8,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r08,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r08/performance_MLdata/FLwithAP_MLdata.csv,
expert_driven,Expert-Driven,deepseek-r1:8b,9,paper__rq2__expert_driven__r09,ok,531.5,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r09,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r09/performance_MLdata/FLwithAP_MLdata.csv,
expert_driven,Expert-Driven,deepseek-r1:8b,10,paper__rq2__expert_driven__r10,ok,530.5,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r10,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r10/performance_MLdata/FLwithAP_MLdata.csv,
voting_based,Multiple AI-Agents (Voting-Based),deepseek-r1:8b,2,paper__rq2__voting_based__r02,ok,951.3,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r02,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r02/performance_MLdata/FLwithAP_MLdata.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r02/performance/FLwithAP_adaptation_rationales.csv
voting_based,Multiple AI-Agents (Voting-Based),deepseek-r1:8b,3,paper__rq2__voting_based__r03,ok,961.5,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r03,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r03/performance_MLdata/FLwithAP_MLdata.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r03/performance/FLwithAP_adaptation_rationales.csv
