Configuration,Display Name,Repeat,Status,Stage Run Dir,Exported CSV,Exported Rationale CSV
expert_driven,Expert-Driven,8,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r08,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/expert-driven/r8.csv,
expert_driven,Expert-Driven,9,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r09,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/expert-driven/r9.csv,
expert_driven,Expert-Driven,10,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__expert_driven__r10,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/expert-driven/r10.csv,
voting_based,Voting-based,1,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r01,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r1.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r1_rationales.csv
voting_based,Voting-based,2,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r02,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r2.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r2_rationales.csv
voting_based,Voting-based,3,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r03,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r3.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r3_rationales.csv
voting_based,Voting-based,4,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r04,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r4.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r4_rationales.csv
voting_based,Voting-based,5,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r05,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r5.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r5_rationales.csv
voting_based,Voting-based,6,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r06,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r6.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r6_rationales.csv
voting_based,Voting-based,7,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r07,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r7.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r7_rationales.csv
voting_based,Voting-based,8,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r08,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r8.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r8_rationales.csv
voting_based,Voting-based,9,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r09,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r9.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r9_rationales.csv
voting_based,Voting-based,10,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__voting_based__r10,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r10.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/voting-based/r10_rationales.csv
role_based,Role-based,1,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__role_based__r01,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r1.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r1_rationales.csv
role_based,Role-based,2,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__role_based__r02,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r2.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r2_rationales.csv
role_based,Role-based,3,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__role_based__r03,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r3.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r3_rationales.csv
role_based,Role-based,4,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__role_based__r04,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r4.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r4_rationales.csv
role_based,Role-based,5,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__role_based__r05,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r5.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r5_rationales.csv
role_based,Role-based,6,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__role_based__r06,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r6.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r6_rationales.csv
role_based,Role-based,7,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__role_based__r07,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r7.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r7_rationales.csv
role_based,Role-based,8,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__role_based__r08,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r8.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r8_rationales.csv
role_based,Role-based,9,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__role_based__r09,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r9.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r9_rationales.csv
role_based,Role-based,10,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__role_based__r10,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r10.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/role-based/r10_rationales.csv
debate_based,Debate-based,1,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__debate_based__r01,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r1.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r1_rationales.csv
debate_based,Debate-based,2,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__debate_based__r02,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r2.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r2_rationales.csv
debate_based,Debate-based,3,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__debate_based__r03,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r3.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r3_rationales.csv
debate_based,Debate-based,4,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__debate_based__r04,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r4.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r4_rationales.csv
debate_based,Debate-based,5,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__debate_based__r05,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r5.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r5_rationales.csv
debate_based,Debate-based,6,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__debate_based__r06,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r6.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r6_rationales.csv
debate_based,Debate-based,7,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__debate_based__r07,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r7.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r7_rationales.csv
debate_based,Debate-based,8,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__debate_based__r08,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r8.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r8_rationales.csv
debate_based,Debate-based,9,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__debate_based__r09,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r9.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r9_rationales.csv
debate_based,Debate-based,10,ok,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/staging/paper__rq2__debate_based__r10,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r10.csv,/Users/ivan/Desktop/AP4Fed/paper_campaigns/ag_news__mlp/experiments/debate-based/r10_rationales.csv
