Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,AP List
Client 3,7,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,7,2.16,0.0,0.00,0.75,2.91,3,36.35,78.05,CNN 16k,Non-IID,MNIST,0.0327,0.0,0.0,0.0,1.6073,0.4815,0.3848,1.9930,client_registry|client_selector
Client 1,8,2.14,0.0,0.00,0.75,2.90,3,35.80,78.65,CNN 16k,IID,MNIST,0.1344,0.0,0.0,0.0,1.6555,0.4301,0.3246,2.0924,client_registry|client_selector
Client 3,8,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,8,2.16,0.0,0.00,0.74,2.90,3,36.05,78.70,CNN 16k,Non-IID,MNIST,0.0335,0.0,0.0,0.0,1.6555,0.4301,0.3246,2.0924,client_registry|client_selector
Client 1,9,2.19,0.0,0.00,0.70,2.89,3,35.75,79.00,CNN 16k,IID,MNIST,0.1312,0.0,0.0,0.0,1.5654,0.5698,0.4954,1.6114,client_registry|client_selector
Client 3,9,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,9,2.18,0.0,0.00,0.72,2.89,3,36.25,78.95,CNN 16k,Non-IID,MNIST,0.0332,0.0,0.0,0.0,1.5654,0.5698,0.4954,1.6114,client_registry|client_selector
Client 1,10,2.17,0.0,0.00,0.71,2.88,3,16.35,78.15,CNN 16k,IID,MNIST,0.1285,0.0,0.0,0.0,1.5798,0.5248,0.4225,1.8558,client_registry|client_selector
Client 3,10,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,10,2.19,0.0,0.00,0.69,2.88,3,32.00,78.15,CNN 16k,Non-IID,MNIST,0.0309,0.0,0.0,0.0,1.5798,0.5248,0.4225,1.8558,client_registry|client_selector
Client 1,11,2.14,0.0,0.00,0.71,2.84,3,36.35,78.05,CNN 16k,IID,MNIST,0.1282,0.0,0.0,0.0,1.5785,0.4088,0.2909,2.1873,client_registry|client_selector
Client 3,11,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,11,2.12,0.0,0.00,0.72,2.84,3,36.65,78.05,CNN 16k,Non-IID,MNIST,0.0305,0.0,0.0,0.0,1.5785,0.4088,0.2909,2.1873,client_registry|client_selector
Client 1,12,2.18,0.0,0.00,0.74,2.92,3,32.85,77.60,CNN 16k,IID,MNIST,0.1202,0.0,0.0,0.0,1.5515,0.4535,0.3456,1.9486,client_registry|client_selector
Client 3,12,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,12,2.21,0.0,0.00,0.70,2.92,3,37.85,77.70,CNN 16k,Non-IID,MNIST,0.0299,0.0,0.0,0.0,1.5515,0.4535,0.3456,1.9486,client_registry|client_selector
Client 1,13,2.33,0.0,0.00,0.73,3.06,3,39.05,77.80,CNN 16k,IID,MNIST,0.1197,0.0,0.0,0.0,1.6242,0.4096,0.2918,2.2298,client_registry|client_selector
Client 3,13,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,13,2.31,0.0,0.00,0.75,3.06,3,34.65,77.80,CNN 16k,Non-IID,MNIST,0.0316,0.0,0.0,0.0,1.6242,0.4096,0.2918,2.2298,client_registry|client_selector
Client 1,14,2.39,0.0,0.00,0.72,3.11,3,40.45,78.25,CNN 16k,IID,MNIST,0.1276,0.0,0.0,0.0,1.6060,0.3948,0.2495,2.1821,client_registry|client_selector
Client 3,14,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,14,2.41,0.0,0.00,0.70,3.11,3,38.15,78.25,CNN 16k,Non-IID,MNIST,0.0299,0.0,0.0,0.0,1.6060,0.3948,0.2495,2.1821,client_registry|client_selector
Client 1,15,2.32,0.0,0.00,0.73,3.05,3,40.35,78.35,CNN 16k,IID,MNIST,0.1187,0.0,0.0,0.0,1.5581,0.4265,0.3027,2.1649,client_registry|client_selector
Client 3,15,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,15,2.29,0.0,0.00,0.76,3.05,3,41.40,78.35,CNN 16k,Non-IID,MNIST,0.0281,0.0,0.0,0.0,1.5581,0.4265,0.3027,2.1649,client_registry|client_selector
Client 1,16,2.22,0.0,0.00,0.76,2.98,3,45.90,78.10,CNN 16k,IID,MNIST,0.1165,0.0,0.0,0.0,1.5446,0.4365,0.3207,2.1840,client_registry|client_selector
Client 3,16,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,16,2.22,0.0,0.00,0.76,2.98,3,45.90,78.10,CNN 16k,Non-IID,MNIST,0.0298,0.0,0.0,0.0,1.5446,0.4365,0.3207,2.1840,client_registry|client_selector
Client 1,17,2.20,0.0,0.00,0.74,2.95,3,20.65,77.90,CNN 16k,IID,MNIST,0.1172,0.0,0.0,0.0,1.5493,0.4900,0.4156,1.8318,client_registry|client_selector
Client 3,17,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,17,2.25,0.0,0.00,0.70,2.95,3,41.80,77.90,CNN 16k,Non-IID,MNIST,0.0265,0.0,0.0,0.0,1.5493,0.4900,0.4156,1.8318,client_registry|client_selector
Client 1,18,2.19,0.0,0.00,0.74,2.93,3,36.75,78.25,CNN 16k,IID,MNIST,0.1148,0.0,0.0,0.0,1.5659,0.4659,0.3803,1.9502,client_registry|client_selector
Client 3,18,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,18,2.19,0.0,0.00,0.74,2.93,3,36.95,78.25,CNN 16k,Non-IID,MNIST,0.0298,0.0,0.0,0.0,1.5659,0.4659,0.3803,1.9502,client_registry|client_selector
Client 1,19,2.21,0.0,0.00,0.71,2.93,3,37.35,78.15,CNN 16k,IID,MNIST,0.1143,0.0,0.0,0.0,1.4959,0.5201,0.4666,1.7663,client_registry|client_selector
Client 3,19,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,19,2.20,0.0,0.00,0.73,2.93,3,32.95,78.15,CNN 16k,Non-IID,MNIST,0.0285,0.0,0.0,0.0,1.4959,0.5201,0.4666,1.7663,client_registry|client_selector
Client 1,20,2.38,0.0,0.00,0.73,3.11,3,37.85,78.90,CNN 16k,IID,MNIST,0.1135,0.0,0.0,0.0,1.5771,0.4408,0.3212,1.9738,client_registry|client_selector
Client 3,20,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,20,2.35,0.0,0.00,0.76,3.11,3,37.25,79.10,CNN 16k,Non-IID,MNIST,0.0290,0.0,0.0,0.0,1.5771,0.4408,0.3212,1.9738,client_registry|client_selector
