Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE,AP List
Client 1,7,2.34,0.0,0.00,1.13,3.47,3,34.30,75.80,CNN 16k,IID,MNIST,0.1318,0.0,0.0,0.0,1.5958,0.5095,0.4425,1.7835,client_registry|client_selector
Client 3,8,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,8,2.35,0.0,0.00,1.17,3.51,3,37.45,76.20,CNN 16k,Non-IID,MNIST,0.0328,0.0,0.0,0.0,1.5624,0.4018,0.2749,2.2221,client_registry|client_selector
Client 1,8,2.36,0.0,0.00,1.16,3.51,3,34.30,76.30,CNN 16k,IID,MNIST,0.1271,0.0,0.0,0.0,1.5624,0.4018,0.2749,2.2221,client_registry|client_selector
Client 3,9,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,9,2.38,0.0,0.00,1.17,3.54,3,32.55,76.05,CNN 16k,Non-IID,MNIST,0.0314,0.0,0.0,0.0,1.6095,0.3909,0.2641,2.2812,client_registry|client_selector
Client 1,9,2.29,0.0,0.00,1.25,3.54,3,34.45,76.00,CNN 16k,IID,MNIST,0.1248,0.0,0.0,0.0,1.6095,0.3909,0.2641,2.2812,client_registry|client_selector
Client 3,10,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,10,2.42,0.0,0.00,1.26,3.68,3,36.45,76.15,CNN 16k,Non-IID,MNIST,0.0319,0.0,0.0,0.0,1.5217,0.3949,0.2596,2.1989,client_registry|client_selector
Client 1,10,2.41,0.0,0.00,1.27,3.68,3,35.50,76.20,CNN 16k,IID,MNIST,0.1238,0.0,0.0,0.0,1.5217,0.3949,0.2596,2.1989,client_registry|client_selector
Client 3,11,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,11,2.33,0.0,0.00,1.31,3.65,3,36.40,76.40,CNN 16k,Non-IID,MNIST,0.0308,0.0,0.0,0.0,1.6002,0.4634,0.3666,1.9480,client_registry|client_selector
Client 1,11,2.35,0.0,0.00,1.30,3.65,3,34.95,76.40,CNN 16k,IID,MNIST,0.1232,0.0,0.0,0.0,1.6002,0.4634,0.3666,1.9480,client_registry|client_selector
Client 3,12,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,12,2.60,0.0,0.00,1.24,3.85,3,36.25,78.20,CNN 16k,Non-IID,MNIST,0.0311,0.0,0.0,0.0,1.6022,0.4387,0.3410,2.0567,client_registry|client_selector
Client 1,12,2.49,0.0,0.00,1.36,3.85,3,38.45,78.15,CNN 16k,IID,MNIST,0.1181,0.0,0.0,0.0,1.6022,0.4387,0.3410,2.0567,client_registry|client_selector
Client 3,13,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,13,2.38,0.0,0.00,1.16,3.55,3,33.95,77.00,CNN 16k,Non-IID,MNIST,0.0309,0.0,0.0,0.0,1.5264,0.5410,0.4398,1.5899,client_registry|client_selector
Client 1,13,2.37,0.0,0.00,1.18,3.55,3,34.75,77.20,CNN 16k,IID,MNIST,0.1193,0.0,0.0,0.0,1.5264,0.5410,0.4398,1.5899,client_registry|client_selector
Client 3,14,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,14,2.44,0.0,0.00,1.21,3.65,3,37.85,76.00,CNN 16k,Non-IID,MNIST,0.0305,0.0,0.0,0.0,1.6009,0.4524,0.3545,1.9585,client_registry|client_selector
Client 1,14,2.42,0.0,0.00,1.23,3.65,3,36.70,76.05,CNN 16k,IID,MNIST,0.1178,0.0,0.0,0.0,1.6009,0.4524,0.3545,1.9585,client_registry|client_selector
Client 3,15,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,15,2.27,0.0,0.00,1.14,3.42,3,33.25,74.80,CNN 16k,Non-IID,MNIST,0.0312,0.0,0.0,0.0,1.5658,0.4433,0.3363,2.0274,client_registry|client_selector
Client 1,15,2.27,0.0,0.00,1.15,3.42,3,33.90,74.85,CNN 16k,IID,MNIST,0.1180,0.0,0.0,0.0,1.5658,0.4433,0.3363,2.0274,client_registry|client_selector
Client 3,16,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,16,2.52,0.0,0.00,1.33,3.86,3,36.25,76.45,CNN 16k,Non-IID,MNIST,0.0276,0.0,0.0,0.0,1.6527,0.4311,0.3038,2.0839,client_registry|client_selector
Client 1,16,2.47,0.0,0.00,1.39,3.86,3,38.20,75.25,CNN 16k,IID,MNIST,0.1164,0.0,0.0,0.0,1.6527,0.4311,0.3038,2.0839,client_registry|client_selector
Client 3,17,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,17,2.64,0.0,0.00,1.29,3.93,3,43.80,77.30,CNN 16k,Non-IID,MNIST,0.0306,0.0,0.0,0.0,1.5983,0.3948,0.2470,2.2405,client_registry|client_selector
Client 1,17,2.68,0.0,0.00,1.25,3.93,3,48.40,77.60,CNN 16k,IID,MNIST,0.1232,0.0,0.0,0.0,1.5983,0.3948,0.2470,2.2405,client_registry|client_selector
Client 3,18,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,18,2.42,0.0,0.00,1.16,3.58,3,44.90,76.65,CNN 16k,Non-IID,MNIST,0.0286,0.0,0.0,0.0,1.6367,0.4110,0.2856,2.1756,client_registry|client_selector
Client 1,18,2.42,0.0,0.00,1.16,3.58,3,44.65,76.65,CNN 16k,IID,MNIST,0.1153,0.0,0.0,0.0,1.6367,0.4110,0.2856,2.1756,client_registry|client_selector
Client 3,19,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,19,2.68,0.0,0.00,1.40,4.08,3,44.40,77.30,CNN 16k,Non-IID,MNIST,0.0283,0.0,0.0,0.0,1.5901,0.4426,0.3305,1.9995,client_registry|client_selector
Client 1,19,2.59,0.0,0.00,1.49,4.08,3,48.00,77.35,CNN 16k,IID,MNIST,0.1179,0.0,0.0,0.0,1.5901,0.4426,0.3305,1.9995,client_registry|client_selector
Client 3,20,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,Client excluded,-
Client 2,20,2.50,0.0,0.00,1.15,3.65,3,44.95,76.80,CNN 16k,Non-IID,MNIST,0.0300,0.0,0.0,0.0,1.5490,0.4243,0.3072,2.1394,client_registry|client_selector
Client 1,20,2.45,0.0,0.00,1.19,3.65,3,43.20,76.75,CNN 16k,IID,MNIST,0.1178,0.0,0.0,0.0,1.5490,0.4243,0.3072,2.1394,client_registry|client_selector
